id,name,description,assigned,annotated
2,The rectory,"This room is quite small and cramped. It's about the size of maybe three wooden carts, which is to say, it's very small. There are boxes all over the place and many candles and other church accessories. There are several big robes hanging next to what looks like a very small closet. Some candles shed an eerie light on the room, flickering softly. There is a small cabinet with several religious tapes and records and a few books. A book case is near and contains many common religious texts. The rectory is one of the most important rooms in the church, as it is where the priest and others get ready before they start church, where the put on robes and cassocks and the like. It is vital to the church as a matter of fact. Visibility to the room is blocked off by the altar in front of it, so church goers cannot see it unless they walk behind the altar. It seems to be used as a bit of a storage area for religious artifacts.",0,0
4,Orc cave,It is a dark cave that is cold and damp inside. The floor is rocks covered it bat poop. It is damp from the ceiling dripping of water. The cave just goes on what seems to be endlessly into the dark abyss. The only lite you can see is from the distance entrance of the cave. The cave is an old orc hiding place. It housed thousands of orcs that used it for shelter and to store their gold. The orc population has died and there is now very little that remains of the orcs that used to occupy this cave. Robbers have stolen anything worthwhile in this cave.,1,0
6,Simple Town,The town is a small area with a few buildings. There are many shops and basic need places. The road that leads into town is dirt and rock. The town has been here for many years. The town has never been attacked due to the guard towers around town. The town is usually quite however sometimes parades are thrown.,0,0
8,Church Entryway,The church has marble floors and a huge frost window. There are benches made from wood and a big organ can be seen at the front stage. There is gold trim all around the church. This is where everyone comes to pray. It is a place to worship god and have ceremonies.,0,0
10,Large Farm,"The farm is huge, over 1000 acres. There are a ton of horses that live on the farm and a wooden fence is around all roads of the farm. There is a red barn in the center of the farm. The farm is the life of the town. It is where all the crops are grown to feed the people. The barn was the first building built when the town was established.",0,0
12,Firewood Forest,The forest has many trees. The majority of the trees are green however a few are orange and red. The forest is huge and seems to never end. The forest is where all the wood is gathered to make fire. The forest goes for miles and new trees are planted once a year to make sure it lasts forever.,0,0
14,Temple gardens,"The temple gardens are a beautiful place. There are many trees and flowers all over the Temple. There is a small water spring here. Many funeral ceremonies have been held in this garden, staining its tranquil presence with haunting memories.",0,0
16,Church field,Sprawling grass is adorned with simple yet pretty flowers here. Wooden benches are organized into small rows. There's a roof covering the benches and pastors table. A white wooden fence encloses the area. This is used for special occasions like a wedding. It is also used for baptism and summer services.,0,0
18,Southernmost Tower Entryway,"The rather drab tower was made of gray stones approximately all the same size. Artwork hung on the walls depicting battle scenes from long ago but even the color from these had faded with time. The cold, outside air seeped in through every small crack and crevice leaving a damp quality to the air. Sealed off rooms lined the perimeter and obviously had not been seen by human eyes for centuries. This tower was the first built to accompany the castle and was majestic in its heyday. It stood four stories tall, gleaming white with parapets on the top. The Southernmost Tower served as the guest quarters for visitors to the castle and was talked about throughout the land. After the Heinous Wars the castle was left to rot when its inhabitants fled for their lives. The castle and its accompanying tower stand as a footnote in history now.",0,0
20,Meadow,"Large clear outdoor meadow. Flowers of blue and white appearing in bunches here and there. The grass glows with a green light. Not much can be said about its appearance, however there is a mystical allure associated with the place as if a meadow for spirits instead of livestock. A great battle once held here. The battle was not between Soldiers and knights. But by wizards and strange ones. It is said to be haunted for the most part, but tales have been told that men have received great visions of wisdom while walking the meadow.",0,0
22,Central Bazaar,"Shops as far as the eye can see, merchandise from around the region can be seen. Various goods ranging from dinner sets with colorful patterns to delicious smelling spices can be found here. Opening early in the morning and not closing till late, you can always find people bustling about. Whether it be finding what's for dinner or simply just to browse. You can find just about anything at the local bazaar.",0,0
24,mysterious forest outskirts,"The forest is a dark and mysterious place, where few but the bravest hunters dare wander. The trees loom over you, obscuring any sort of sunlight. Despite this, it is a valuable food and lumber resource for the nearby castle's inhabitants, for the trees are tall and thick and a plentiful amount of deer wander about within. The vast expanse of the forest is one of the greatest mysteries for the local castle. No one knows where it ends, for even the brave hunters dare only travel to its outermost depths. As a result, it is likely that the forest has grown and grown for the past hundred years, and no one is willing to explore deeper, for there are myths of a mythical dragon king's castle in its innermost depths.",0,0
26,Castle farm,"The farm is a large patch of land located directly outside of the castle walls. A wide variety of grains, vegetables and fruits are grown here to feed the castle's people. A few lone barns are scattered across the farmland, housing a wide array of farm animals that are slaughtered for their delicious meats. The farms were a necessity for the castle to be able to sustain itself during winters and sieges. As a result, the unskilled laborers of the castle were designated to move outside the castle walls and generate food for their people. The farmers always made sure there was a plentiful amount of harvest to last during these harsh times.",0,0
28,The Lower Dungeon Guard Room,"This chamber, a full 30 feet below the Upper Dungeon, isn't made of stone blocks, it's hewn from the living rock of the earth.  10 by 15 feet, its domed ceiling and walls show the tool marks its excavation.  There are numerous lines of filth on the walls marking the various levels that water has risen up the walls during previous rainy seasons.

A wobbly table sits in the center of the room, but there are no chairs to go with it.  Rusty cuffs hang from rusty pegs driven into the wall.  The smell is horrific. This room and its attached four cells aren't for the normal murderer or thief, they wait their sentences in the relatively salubrious Upper Dungeon.  This Lower Dungeon is for those who act against the King.  The King ensures that all the nobility know about this horrible place.",0,0
30,Cottage safe-room,"Stocked from floor to ceiling, food and medicine line the western wall. The room is painted matte grey and contains a chest to the left of the food and medicine. Three chairs and a table with a lamp are what is left in the middle of the safe-room. Dimly lit, and a steady water supply coming from the well outside of the cottage. The safe-room is the last option of defense against the Genii. If the Genii get past the outside gates of the cottage, then the safe-room is the becomes the next objective point. What gives the safe-room its value, is the ability to cloak the door.",0,0
32,In Front of a Stone Tower,"A large tower stretches high into the sky. It is made of gray stone blocks, some of which have softened edges illustrating aged signs of wear. Sparse grass grows around the base of the tower, dwindling down to nothing near the dark open doorway at the tower's front. A few rays of light shine into the doorway and brighten a rough stone floor, with specks of dust being illuminated by the sun's rays. This tower was created a long time ago by workers unknown. It appears rather old, but has withstood the test of time.",0,0
34,A small church,"It's a very humble abode - any smaller and you could mistake it for someone's home.  In the front room is a small altar for prayer and offerings.  The two rooms to the sides are places where the priest and a traveler can rest. There are many roadside churches in the land and this is but one of them.  Most travelers come here to rest on their way to the nearest town, still a day's travel away.",0,0
36,Cottage entryway,"A welcome mat adorns the floor at the foot of the door. A rack to hang hats and coats is on the left hand side. Right above, a fan lazy spins about on a hot summer day. A single bulb of light illuminates the small hall that the entrance leads to. The entrance smells of the fresh outdoors. This cottage seems strangely ahead of its time for a place so underwhelming. The owner is something of a tinkerer and the furnishings and contraptions reflect the work of either a madman or a genius.",0,0
38,A wet dungeon,"It is dark and eerie, especially because there is only one candle. The candle is low on wax, it will be out soon. The brick walls surrounding the dungeon are scratched with fingernails, moss is growing. The dungeon is in a low underground chamber by the castle. It is under water, or a lake. Fresh water keeps dripping from the ceiling, and it smells like fish.",0,0
40,Enormous church entrance door,"The door stands twenty feet tall. It is made of metal with a large knocker at eye level. There is a small sliding window covered with metal so that people inside can slide it and see who is knocking. The door has three large rectangles made of rivets, one high, one in the middle, and one low. This church has stood for over five hundred years. Many people have knocked on its doors looking for protection or service. It is commanding, yet welcoming.",0,0
42,Hilltop temple grounds,"A tall white building with stained glass windows and surrounded lush green grass.  It sits on top of a hill with many steps to climb.  Each room has a different setting and painted walls to set the mood. Many people journey to the temple for peace, solitude, reflection and meditation.  They journey up the hill and steps that are cut into the side of the mountain.  Once they reach the temple grounds the view is luxurious, breath taking and serene.",0,0
44,Castle Maids' Room,"Inside the maids room is dark and grey.  It is much different from the rest of the Castle which has grand walls and floors and paintings from famous painters around the wall.  The maid holds many secrets in this room.  One which is a secret door that holds paintings she should not have. Many of the servants share quarters, but the head maid has her own room.  She is a favorite of the Duke who owns the castle.  She is loyal, but her room still reflects that she is a servant.  She has plans of her own as her room inside the Castle has secret door and storage where she has things she should not.",0,0
